channelid,subscriber_lifetime,views_lifetime,life_uploads,catid,category,View_range,upload_range,last_30_eng,last_30_views
UCH7KJNp-ciPFZhtMFJnIkew,1570,492160,190,27,Education,high,low,1,54
UCKbQNRofKcGIiXZHUmQeS2Q,1572,402395,90,24,Entertainment,high,low,2,48
UCdj6dy0QpagavVTYPqOXZtw,1572,87039,105,25,News & Politics,high,low,6,16
UCUBiHMbkup_Qgm0VNZaUGPg,1572,211704,103,24,Entertainment,high,low,3,132
UCrbQfEHAK3RbQLMOc1bzYWg,1572,683861,109,22,People & Blogs,high,low,1,102
UChVr1W7AbO-pAZml2YHexOg,1572,287597,23,22,People & Blogs,high,low,6,1309
UC6-t8Gr_ok5sBvpdI1ivBzw,1573,256985,387,22,People & Blogs,high,low,37,404
UCJ6g4KFBXVBvaZ4Sgezqnlw,1574,727385,7,24,Entertainment,high,low,1,97
UCNABuq3dIfIbzuB8GztIWGQ,1574,268520,12,22,People & Blogs,high,low,1,294
UCJVOi7RL7G6nFiYEovI9EEg,1575,730227,99,22,People & Blogs,high,low,1,131
UC6xsTsqlPXMIKiirin6KdkQ,1575,129042,45,27,Education,high,low,1,92
UC8aFseBj0i5gPEt5u2NFLgg,1575,101777,21,22,People & Blogs,high,low,1,465
UCie19O0gVuKCXHmZpQ0e58Q,1576,173698,58,22,People & Blogs,high,low,2,51
UCIku1H58jBxqMLNwGiy0A_Q,1576,111522,78,22,People & Blogs,high,low,1,591
UCjL-6rgkcFJniRg4DR8ApXQ,1576,101572,11,10,Music,high,low,2,608
UCTNXbH0zg2e9NevWp7esL2g,1578,50687,72,28,Science & Technology,high,low,1,38
UCC9G3ePQGxvLtLH_9oHQ4mQ,1578,817636,19,24,Entertainment,high,low,28,46
UCR_Dg3LOehhqSHDtSNOAucw,1581,73777,74,27,Education,high,low,1,122
UCwOd7eSHzMgU8E1x2uyS6-g,1582,487739,74,24,Entertainment,high,low,1,121
UCDCgBEVWHCCBwEPNyr5DMpg,1582,87585,74,27,Education,high,low,4,963
UCP3Z6tn0diLaz88sf4Ry_OQ,1583,96628,28,27,Education,high,low,1,64
UCqZUcSuLbSo-vGhl_8wlrpg,1584,78266,95,22,People & Blogs,high,low,2,20
UCL5PwC7-JpHvqkV_lAs2Dpg,1584,68955,71,27,Education,high,low,4,26
UCLpcNB55K1M7foEwGDEqTwQ,1585,37937,38,27,Education,high,low,1,851
UC8sYWpB7KX-JPFJupa7o1pQ,1586,336628,62,22,People & Blogs,high,low,8,137
UClGIxI06ACtaJ6GwaKgwVwA,1586,21654,242,20,Gaming,high,low,1,31
UCdqClIw6o_aOvs-iD72RTDw,1586,212405,133,20,Gaming,high,low,1,303
UCjwUo29SK72nkI1fdcJnekQ,1586,316720,42,24,Entertainment,high,low,37,299
UCsx-YOLRt3BuyIAsadHnigg,1587,244558,34,24,Entertainment,high,low,5,130
UCCuqgXGAboQNSRvmHExvoQA,1588,955616,1567,27,Education,high,medium,3,105
